key,value,description,geo_id
9001,Hazardous Waste-Treatment/Disposal/Store (9001),"Violations of regulations governing the treatment, storage, or disposal of hazardous waste, as established by the Resource Conservation and Recovery Act (RCRA), which can result in civil or criminal penalties.",
9110,Agriculture Acts (9110),"Refers to violations of various federal laws pertaining to agricultural production and regulation, including aspects related to subsidies, marketing, and environmental protection.",
9115,Agriculture Acts (9115),"Similar to 9110, this code addresses violations under specific agricultural programs and acts that may involve fraud or regulatory non-compliance.",
9120,"Agriculture, Federal Seed Act (9120)","Involves violations of regulations regarding seed quality and labeling, ensuring that seeds meet certain standards before being sold, overseen by the USDA.",
9130,Game Conservation Acts (9130),"Violations of laws designed to protect wildlife and regulate hunting practices, including illegal hunting or poaching of protected species, often prosecuted under state and federal laws.",
9140,"Agriculture, Insecticide Act (9140)","Pertains to violations of the Federal Insecticide, Fungicide, and Rodenticide Act (FIFRA), which regulates the use of pesticides to protect public health and the environment.",
9150,National Park/Recreation Violations (9150),"Refers to illegal activities within national parks or recreational areas, including vandalism, unauthorized camping, or wildlife poaching, enforced by the National Park Service.",
9160,"Agriculture, Packers & Stockyard Act (9160)","Violations of regulations governing the buying and selling of livestock and poultry, which aim to ensure fair competition and prevent deceptive practices in the meatpacking industry.",
9170,"Agriculture, Plant Quarantine (9170)","Involves violations of federal regulations aimed at preventing the introduction and spread of harmful plant pests and diseases, enforced by the USDA.",
9180,"Agriculture, Handling Animals, Research (9180)","Refers to violations of the Animal Welfare Act in the context of research, including improper care and handling of animals used in scientific studies.",
9200,Antitrust Violations (9200),"Engaging in practices that restrict competition, such as price-fixing, monopolies, or anti-competitive mergers, enforced under the Sherman Act and the Clayton Act, leading to civil and criminal penalties.",
9300,Fair Labor Standards Act (9300),"Violations of labor laws related to minimum wage, overtime pay, and child labor, overseen by the Department of Labor, which can result in civil penalties and restitution.",
9400,Food & Drug Act (9400),"Involves violations of regulations governing the safety and labeling of food and pharmaceuticals, primarily enforced by the Food and Drug Administration (FDA).",
9500,Migratory Bird Laws (9500),"Violations of laws protecting migratory bird species, including illegal hunting, taking, or possession, enforced under the Migratory Bird Treaty Act.",
9600,Motor Carrier Act (9600),"Violations related to the regulation of commercial motor carriers, including safety standards, licensing, and liability insurance requirements, enforced by the Federal Motor Carrier Safety Administration (FMCSA).",
9710,"National Defense, Selective Service Acts (9710)","Refers to violations of laws related to military conscription and the draft, including failure to register for selective service, prosecuted under the Military Selective Service Act.",
9720,"National Defense, Illegal Use of Uniform (9720)","The unauthorized wearing of military uniforms or insignia, which can mislead others about a person’s military status, violating federal law and potentially resulting in criminal charges.",
9730,"National Defense, Defense Production Act (9730)","Violations of this act, which provides the government authority to prioritize contracts and allocate resources for national defense needs, can include failure to comply with government contracts related to defense production.",
9731,Economic Stabilization Act of 1970-Price (9731),"Violations involving illegal price controls on goods and services during economic stabilization efforts, aimed at preventing inflation and maintaining fair pricing, subject to enforcement by the Economic Stabilization Program.",
9732,Economic Stabilization Act of 1970-Rents (9732),"Relates to violations of federal rent control regulations established to stabilize housing costs during periods of inflation, punishable by fines and civil penalties.",
9733,Economic Stabilization Act of 1970-Wages (9733),"Violations related to wage controls implemented to combat inflation, which may involve paying employees above the federally mandated wage rates.",
9740,Alien Registration (9740),"Refers to violations of laws requiring non-citizens in the U.S. to register with the government, including failure to register or providing false information during the registration process.",
9741,Energy Facility (9741),"Violations associated with regulations governing the construction and operation of energy facilities, including nuclear power plants, which are enforced by the Nuclear Regulatory Commission (NRC).",
9751,Treason (9751),"The act of betraying one’s country by levying war against it or adhering to its enemies, providing them aid and comfort, which is a federal crime punishable by severe penalties, including death under 18 U.S.C. § 2381.",
9752,Espionage (9752),"The act of gathering, transmitting, or losing defense information to aid a foreign government, prohibited under 18 U.S.C. § 794, with serious consequences including imprisonment.",
9753,Sabotage (9753),"Deliberate destruction or damage to property or resources intended to hinder national defense or war efforts, prosecuted under 18 U.S.C. § 2152, with severe penalties.",
9754,Sedition (9754),"The act of inciting rebellion or violence against the authority of the government, which can include speech or actions that advocate for overthrowing the government, prosecuted under 18 U.S.C. § 2384.",
9755,Smith Act (9755),"A law making it a crime to advocate the violent overthrow of the government or belong to organizations that promote such actions, enforced under 18 U.S.C. § 2385.",
9760,"Curfew, Restricted Areas (9760)","Violating curfews or restrictions imposed in certain areas during national emergencies or military operations, punishable under laws governing civil defense and national security.",
9770,Exportation of War Materials (9770),"Involves illegal export of military or defense-related goods and services without proper authorization, violating the Arms Export Control Act (AECA) and subject to significant penalties.",
9771,Anti-Apartheid Program (9771),"Violations of U.S. laws aimed at supporting anti-apartheid efforts in South Africa, which may include restrictions on trade or investment in apartheid-supporting entities.",
9780,Trading with the Enemy Act (9780),"Prohibits trade and financial transactions with nations designated as enemies during wartime, with violations leading to severe penalties under 50 U.S.C. § 4305.",
9790,"National Defense, Other (9790)","A general category for offenses related to national defense that do not fall under specific classifications, covering various unlawful acts impacting national security.",
9791,Subversive Activities Control Act (9791),"Requires registration of organizations engaging in subversive activities against the U.S. government, with penalties for non-compliance under 50 U.S.C. § 781.",
9792,Defense Contractors (9792),"Violations of laws and regulations governing the conduct of defense contractors, including fraud in contract bidding or failure to comply with defense procurement standards.",
9793,Armed Forces (9793),"A general classification for offenses related to military conduct and operations, which may include violations of the Uniform Code of Military Justice (UCMJ).",
9810,Obscene Mail (9810),"The unlawful use of the U.S. Postal Service to send materials deemed obscene under the Miller test, which evaluates whether the content appeals to prurient interests, lacks serious literary or artistic value, and violates community standards, as outlined in 18 U.S.C. § 1461.",
9820,Obscene Matter in Interstate Commerce (9820),"Involves the transportation of obscene materials across state lines, prohibited under 18 U.S.C. § 1462, where violations can lead to significant fines and imprisonment.",
9901,Civil Rights (9901),"Violations of federally protected civil rights, including discrimination based on race, color, religion, sex, or national origin, often enforced under statutes such as 42 U.S.C. § 1983.",
9902,Election Law Violators (9902),"Offenses related to the unlawful conduct of elections, including voter fraud, campaign finance violations, and tampering with ballots, typically governed by the Federal Election Commission regulations.",
9903,Federal Statues-Public Officer/Employees (9903),"Violations of statutes governing the conduct of federal employees and public officials, including bribery, misconduct, and ethical violations under laws like the Hatch Act.",
9904,Federal Statute-U.S. Emblems/Insignias (9904),"Illegal use or misuse of U.S. governmental emblems, insignias, or seals, which is prohibited under 18 U.S.C. § 701 and carries penalties for unauthorized use.",
9905,Federal Statutes-Foreign Relations (9905),"Violations of laws that regulate interactions with foreign governments, including espionage, unauthorized dealings, or support for foreign entities contrary to U.S. policy, enforceable under the Foreign Relations Authorization Act.",
9906,Federal Statutes-Bank and Banking (9906),"Offenses related to banking regulations, including fraud, money laundering, and violations of the Bank Secrecy Act (BSA), which require banks to report suspicious activities.",
9907,Federal Statutes-Money and Finance (9907),"Encompasses illegal activities involving money laundering, financial fraud, and violations of federal financial regulations, often associated with the Financial Crimes Enforcement Network (FinCEN).",
9908,Federal Statutes-Public Health & Welfare (9908),"Violations of laws pertaining to public health and welfare, including regulations enforced by the Centers for Disease Control and Prevention (CDC) and the Food and Drug Administration (FDA).",
9909,Federal Statute-Census (9909),"Offenses related to the U.S. Census, including refusal to answer questions or providing false information, punishable under Title 13 of the U.S. Code, which mandates compliance.",
9910,Communication Acts (Including Wire Tapping) (9910),"Violations of laws regulating communications, including unauthorized interception of communications under the Communications Act of 1934 and the Electronic Communications Privacy Act.",
9911,Wire Interception (9911),"The unlawful interception of wire, oral, or electronic communications, violating the Wiretap Act under 18 U.S.C. § 2511, which prohibits such actions without consent or lawful authority.",
9912,Federal Statutes-Copyright Laws (9912),"Offenses related to copyright infringement under Title 17 of the U.S. Code, which protects the rights of authors and creators against unauthorized reproduction or distribution of their works.",
9914,Federal Statutes-Coast Guard (9914),"Violations of laws regulating maritime activities enforced by the Coast Guard, including illegal immigration by sea, drug smuggling, and other offenses under Title 14 of the U.S. Code.",
9915,Federal Statutes-Commerce And Trade (9915),"Violations related to trade regulations, including unfair competition, price-fixing, and antitrust laws enforced by the Federal Trade Commission (FTC) and the Department of Justice.",
9916,Federal Statutes-Consumer Credit Protection (9916),"Offenses under laws that protect consumers in credit transactions, including the Truth in Lending Act and Fair Credit Reporting Act, which mandate clear disclosure of credit terms.",
9917,Federal Statutes-Consumer Product Safety (9917),"Violations of safety regulations enforced by the Consumer Product Safety Commission (CPSC), addressing the manufacturing and distribution of hazardous consumer products.",
9918,Federal Statues-Toxic Substance Control (9918),"Violations of regulations concerning the use and disposal of toxic substances, governed by the Toxic Substances Control Act (TSCA), which aims to protect human health and the environment.",
9919,Federal Statutes-Title 5 (9919),"Violations of federal employment laws outlined in Title 5, which govern the hiring, employment rights, and administrative procedures for federal employees.",
9920,Federal Statutes-Conservation Acts (9920),"Violations of federal laws aimed at conserving natural resources, wildlife, and habitats, such as the Endangered Species Act or the National Environmental Policy Act, which protect ecosystems and manage land use.",
9921,Contempt (9921),"The act of showing disrespect or defying the authority of a court, which can result in penalties such as fines or imprisonment for actions that obstruct the judicial process.",
9922,"Contempt, Congressional (9922)","Refers to actions that obstruct or show disrespect for the proceedings of Congress, including failure to comply with subpoenas or refusing to testify, punishable under legislative rules and regulations.",
9923,Forfeiture - Criminal or Drug Related (9923),"The seizure of assets believed to be connected to criminal activity or drug offenses, as authorized by laws such as the Comprehensive Drug Abuse Prevention and Control Act, which allows for the confiscation of property used in or obtained through illegal activities.",
9926,Federal Statutes-Extort/Oppress under Law (9926),"Offenses involving the use of coercion or threats to obtain money or property, or to oppress individuals or groups, enforceable under federal anti-extortion laws.",
9928,Federal Statutes-Removal from State Court (9928),"Procedures that allow a defendant to transfer a case from state court to federal court based on jurisdictional grounds, including diversity of citizenship or federal question jurisdiction, governed by Title 28 of the U.S. Code.",
9929,Federal Statutes-Labor Laws (9929),"Violations of laws regulating labor practices, including the National Labor Relations Act, which protects workers' rights to organize and bargain collectively, and prohibits unfair labor practices by employers.",
9930,Federal Statutes-Minerals & Land Mining (9930),"Offenses related to the extraction of minerals and the management of federal lands, regulated under acts such as the Mining Law of 1872, which governs mining activities and land use on public lands.",
9931,Customs Laws (Except Narcotics & Liquor) (9931),"Violations of laws governing the import and export of goods, excluding narcotics and liquor, enforced by U.S. Customs and Border Protection (CBP), which ensures compliance with trade regulations.",
9932,Customs Laws - Import Injurious Animals (9932),"Offenses related to the illegal importation of animals that may pose a threat to U.S. agriculture or wildlife, prohibited under the Animal Health Protection Act and enforced by the USDA and APHIS.",
9935,Patents and Trademarks (9935),"Violations of intellectual property laws concerning patents and trademarks, including infringement or counterfeiting, regulated under Title 35 (patents) and Title 15 (trademarks) of the U.S. Code.",
9936,Patriotic Societies And Observances (9936),"Regulations concerning organizations that promote patriotic activities or observances, which may involve compliance with federal laws governing the formation and operation of such groups.",
9938,Veterans Benefits (9938),"Offenses related to fraud or abuse of benefits provided to veterans, governed by laws administered by the U.S. Department of Veterans Affairs (VA), including improper claims for disability or education benefits.",
9940,Social Security (9940),"Violations related to the Social Security Administration (SSA) laws, including fraudulently obtaining benefits or failing to report income, enforceable under Title II and Title XVI of the Social Security Act.",
9941,Connally Act/Hot Oil Act (9941),"Laws designed to regulate the production and transportation of oil, particularly to prevent the marketing of illegally produced ""hot oil,"" which is oil produced in violation of federal or state regulations.",
9942,Transport Convict-Made Goods Interstate (9942),"Offenses involving the transportation of goods produced by convict labor across state lines, which is prohibited under the Ashurst-Sumner Act, aimed at preventing the exploitation of convict labor.",
9943,Railroad & Transportation Acts (9943),"Violations of federal laws regulating railroads and interstate transportation, including compliance with safety and operational standards under acts such as the Interstate Commerce Act.",
9944,"Destruction of Property, Interstate Commerce (9944)","Offenses involving the willful destruction of property that affects interstate commerce, enforceable under federal law, often tied to vandalism or sabotage affecting businesses engaged in trade.",
9947,Telephones Telegraphs & Radios (9947),"Violations of federal regulations governing telecommunications, including unlawful interception, misrepresentation in communications, and non-compliance with the Communications Act of 1934.",
9949,Federal Statute-Transportation (9949),"Offenses related to the transportation of persons or goods across state lines in violation of federal regulations, potentially encompassing a wide range of illegal transport activities.",
9950,"War and National Defense, Other (9950)","Covers offenses related to the conduct of war and national defense not explicitly defined in other codes, including violations of laws regulating military operations and national security practices under the War Powers Act and related statutes.",
9951,Transportation of Strikebreakers (9951),"The illegal act of transporting individuals intended to replace striking workers, regulated under the National Labor Relations Act, which protects workers' rights to organize and strike without interference.",
9952,Taft Hartley Act (9952),"Refers to violations of this federal law that restricts the activities and power of labor unions, including provisions against secondary boycotts and union unfair labor practices, aimed at maintaining balance between labor and management.",
9953,Eight Hour Day on Public Works (9953),"Violations of regulations mandating an eight-hour workday for laborers on public works projects, enforced under the Eight-Hour Law, which applies to federal contracts and projects.",
9954,Peonage (9954),"The illegal practice of coercing individuals to work to pay off debts, often involving serious abuses of human rights, prohibited by the Peonage Act and prosecuted under federal law.",
9956,"Federal Statute, Phw (9956)","Refers to specific federal statutes related to public health and welfare, which govern the provision of services and benefits to ensure the health and safety of the public.",
9957,Terrorist Activity (9957),"Encompasses acts intended to intimidate or coerce a civilian population or influence government policy through violence, punishable under the USA PATRIOT Act and related anti-terrorism legislation.",
9960,Liquor (Except Internal Revenue) (9960),"Violations of federal laws concerning the production, distribution, or sale of alcoholic beverages, excluding issues specifically related to taxation, regulated under the Federal Alcohol Administration Act.",
9971,Maritime & Shipping Laws (9971),"Offenses related to the regulation of maritime activities, including violations of the Jones Act, which governs shipping and transportation across U.S. waters, and the safety and environmental standards for maritime operations.",
9972,Stowaways (9972),"The illegal act of hiding aboard a vessel or aircraft to travel without permission, punishable under various maritime laws that regulate immigration and transportation.",
9973,Federal Boat Safety Act of 1971 (9973),"Violations of safety regulations for recreational boats, including requirements for safety equipment and standards, aimed at reducing accidents and fatalities on the water.",
9974,Federal Water Pollution Control Act (9974),"Offenses related to the discharge of pollutants into navigable waters, regulated under this act, which aims to restore and maintain the integrity of the nation’s waters through permits and enforcement.",
9981,"Postal, Non Mailable Material (9981)","The illegal mailing of items prohibited by federal law, including hazardous materials, explosives, or items deemed obscene or illicit under postal regulations.",
9982,"Postal, Injury to Property (9982)","Offenses involving damage to property within the postal system, which can include vandalism, theft, or destruction of mail and postal facilities, punishable under federal law.",
9983,"Postal, Obstructing the Mail (9983)","Any act that interferes with the delivery of mail, including tampering with mail, false representation, or hindering postal employees in their duties, prohibited under U.S. Code Title 18.",
9984,"Postal, Violations By Postal Employees (9984)","Offenses committed by postal employees, including theft of mail, fraud, or abuse of their position, punishable under federal employment and postal service regulations.",
9989,"Postal, Other (9989)",Miscellaneous offenses related to postal operations that do not fall under specific categories but violate postal regulations or laws.,
9990,National Park/Recreation Violations (9990),"Offenses related to unlawful activities within national parks or recreational areas, including vandalism, unauthorized camping, and poaching, enforceable under the National Park Service regulations.",
9991,Destroying Federal Property (9991),"The intentional destruction or damage of property owned by the federal government, which is punishable under federal law, often tied to vandalism or arson statutes.",
9992,"Intimidation of Witnesses, Jurors, etc. (9992)","Any attempt to threaten or coerce individuals involved in legal proceedings, including witnesses or jurors, prohibited under federal statutes designed to protect the integrity of the judicial process.",
9993,Aircraft Regulations (9993),"Violations of federal laws and regulations governing the operation and safety of aircraft, including those set by the Federal Aviation Administration (FAA), which regulate aspects like maintenance, pilot licensing, and air traffic control.",
9994,Explosives (Except on Vessels) (9994),"Offenses related to the handling, storage, and use of explosives, governed by the Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF), including unlawful possession or use of explosives in a manner that endangers public safety or violates licensing requirements.",
9995,Gold Acts (9995),"Refers to violations of federal laws regulating the ownership, trade, and valuation of gold, including the Gold Reserve Act and related statutes, which restrict the sale and private ownership of gold to ensure compliance with monetary policy.",
9996,Train Wrecking (9996),"The act of intentionally causing a train to derail, which is a serious federal offense due to the potential for mass casualties and significant property damage, punishable under various statutes that address railway safety and sabotage.",
9999,"Federal Statutes, Other (9999)","A category that encompasses miscellaneous federal offenses that do not neatly fit into other specific legal codes, representing a broad array of violations under federal jurisdiction.",
